total,price,condition,MPN,movement,case material,band material,model,listingType
8600,8600,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,TURN-O-GRAPH 6202,FixedPrice
11999,11950,pre-owned,16613/2160,Mechanical (Automatic),Stainless Steel,"Gold, Steel",Submariner,Auction
8492,8492,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice
3540,3540,pre-owned,1603,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction
12100,12100,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction
3190,3150,pre-owned,6917,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,Auction
3415,3375,pre-owned,6927,Mechanical (Automatic),Solid Gold,Genuine Leather,Rolex Lady-Datejust,Auction
5300,5300,pre-owned,Does Not Apply,Mechanical,18K yellow Gold,Leather,Barton,FixedPrice
6401,6401,pre-owned,16613/2160,Mechanical (Automatic),Stainless Steel,"Gold, Steel",Submariner,Auction
10995,10995,new with tags,7850,Automatic,Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory
11000,11000,pre-owned,Rolex GMT Master II 16710,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT Master II,StoreInventory
3600,3600,pre-owned,16014,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice
3300,3300,pre-owned,16030,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory
3449,3449,pre-owned,DATEJUST1601,Mechanical (Automatic),"Stainless Steel, Gold Plated, Sapphire, Plastic","Stainless Steel, Yellow Gold, White Gold, Leather",Rolex Datejust,FixedPrice
3500,3500,pre-owned,Does not apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Air-King,Auction
6190,6190,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice
7742,7742,pre-owned,16610T,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice
9950,9950,pre-owned,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,GMT-Master II 116710,FixedPrice
7975,7975,new with tags,126300-BLUSO,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust 41,StoreInventory
8495,8495,pre-owned,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,16800,StoreInventory
3485,3485,pre-owned,169622,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Yacht-Master,StoreInventory
4187,4155,pre-owned,116231,Mechanical (Automatic),"Gold, Stainless Steel","Gold, Stainless Steel",Rolex Datejust,Auction
5000,5000,pre-owned,116200,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory
9550,9550,new with tags,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice
5745,5700,pre-owned,18038,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,StoreInventory
6093,6093,pre-owned,214270,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer,FixedPrice
8000,8000,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice
8600,8600,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,TURN-O-GRAPH 6202,Auction
3747,3730,pre-owned,6517,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 14k Yellow Gold,Rolex Datejust,Auction
6500,6500,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,StoreInventory
8399,8399,pre-owned,GMT-Master II 116710,Automatic Winding Movement,Stainless Steel,Stainless Steel,Rolex GMT MASTER II,FixedPrice
5850,5850,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice
6599,6599,pre-owned,Does Not Apply,Mechanical (Automatic),18K Gold & Stainless Steel,Gold / Steel,Rolex Lady-Datejust,StoreInventory
4250,4250,pre-owned,116200,Mechanical (Automatic),Stainless Steel,Stainless Steel,Datejust,FixedPrice
10600,10600,pre-owned,116660,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Sea-Dweller Deepsea,StoreInventory
5200,5200,pre-owned,16570,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,StoreInventory
8625,8495,pre-owned,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,GMT-Master II 116710,StoreInventory
6610,6600,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Deepsea,Auction
7000,7000,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice
7575,7500,pre-owned,6917,Mechanical (Automatic),"Solid Gold, 18K Yellow Gold, Add Diamonds on Lugs","Gold, Silver, Yellow Gold",Rolex President,Auction
10160,10110,pre-owned,6298,Mechanical: Automatic,Stainless Steel,Crocodile,Pre Explorer,Auction
5960,5900,pre-owned,16622,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Yacht-Master,Auction
8390,8350,pre-owned,1675,Mechanical (Automatic),Stainless Steel,Steel,GMT Master,Auction
8340,8300,pre-owned,1675,Mechanical (Automatic),Stainless Steel,Steel,GMT Master,Auction
10705,10650,pre-owned,6917,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,StoreInventory
9550,9550,pre-owned,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,GMT-Master II 116710,StoreInventory
3160,3160,pre-owned,16030,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice
9550,9550,pre-owned,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,GMT-Master II 116710,StoreInventory
6688,6688,pre-owned,15037,Mechanical (Automatic),14K Gold,14k Yellow Gold,Rolex Date,StoreInventory
15193,15100,pre-owned,18078,Mechanical (Automatic),Gold,Yellow Gold,Rolex President,Auction
3859,3851,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction
3500,3500,pre-owned,16013,Mechanical (Automatic),"Gold, Stainless Steel","Stainless Steel, Yellow Gold",Rolex Datejust,StoreInventory
3832,3832,pre-owned,Does not apply,Mechanical (Automatic),"solid gold and stainless steel, 14k solid gold",14k gold and stainless steel,1503 Rolex Oyster Perpetual Date,StoreInventory
8500,8500,pre-owned,16600,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Sea-Dweller,FixedPrice
8000,8000,pre-owned,16800,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
9825,9800,pre-owned,18238,Mechanical (Automatic),18k Yellow Gold,18k Yellow Gold,Day-Date,Auction
7293,7293,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice
9315,9250,pre-owned,69173,Mechanical (Automatic),Solid Gold,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,FixedPrice
9750,9750,pre-owned,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,GMT-Master II 116710,StoreInventory
12327,12250,pre-owned,116710,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT-Master II,FixedPrice
9589,9589,pre-owned,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,GMT-Master II 116710,FixedPrice
4600,4550,pre-owned,114300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,Auction
3500,3500,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Genuine Leather,Rolex Datejust,FixedPrice
8999,8999,pre-owned,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,GMT-Master II 116710,FixedPrice
5250,5250,pre-owned,6917,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,StoreInventory
3000,3000,pre-owned,6917,Mechanical (Automatic),Stainless Steel,"Gold Plated, Stainless Steel",Rolex Date,Auction
7500,7500,pre-owned,Does Not Apply,Mechanical (Automatic),"Yellow Gold, Stainless Steel","Diamonds, Stainless Steel, Yellow Gold",Rolex Datejust,StoreInventory
4695,4695,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,StoreInventory
6755,6700,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
6579,6500,pre-owned,16622,Mechanical (Automatic),Platinum / Steel,Stainless Steel,Rolex Yacht-Master,Auction
5500,5500,pre-owned,16622,Mechanical (Automatic),Stainless Steel,Stainless Steel,YACHT-MASTER,FixedPrice
3650,3650,pre-owned,Does Not Apply,automatic,Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,FixedPrice
8978,8978,pre-owned,126334,Mechanical: Automatic,"18k White Gold Bezel, Stainless Steel",Stainless Steel,Datejust 41,FixedPrice
4285,4280,pre-owned,168622,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Yacht-Master,Auction
5485,5485,pre-owned,Does not apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,StoreInventory
7594,7594,pre-owned,16803,Mechanical (Automatic),"Stainless Steel, Gold","Stainless Steel, Gold",Rolex Submariner,FixedPrice
8500,8500,pre-owned,116610LN,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction
8034,7999,pre-owned,114060,Mechanical: Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory
6009,6001,pre-owned,16713,Mechanical (Automatic),Stainless Steel,"18K Yellow Gold, Stainless Steel, Yellow Gold",Rolex GMT-Master II,Auction
5021,4993,pre-owned,1601,Mechanical: Automatic/Kinetic,"Solid Gold, Stainless Steel","Stainless Steel and Yellow Gold, Gold, Stainless Steel",Rolex Datejust,FixedPrice
3895,3850,pre-owned,Does Not Apply,Mechanical (Hand-winding),Solid Gold,"Crocodile Skin, Genuine Leather",Rolex Cellini,FixedPrice
5005,5000,new without tags,116613,Mechanical (Automatic),Stainless Steel,"Stainless Steel, Yellow Gold",Rolex Submariner,FixedPrice
6750,6750,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,FixedPrice
5500,5500,pre-owned,16622,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Yacht-Master,FixedPrice
4053,4053,pre-owned,Does Not Apply,Mechanical (Hand-winding),Stainless Steel,Genuine Leather,Germes,Auction
6150,6100,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,Auction
4703,4683,pre-owned,Does not apply,Mechanical (Hand-winding),Stainless Steel,"Stainless Steel, solid stainless steel Rolex Bracelet",Rolex 6694,Auction
3600,3500,pre-owned,17013,Quartz,Stainless Steel,Silver,Rolex Datejust,Auction
3000,3000,new with tags,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Date,Auction
6400,6400,pre-owned,16610,Automatic Self Wind,Stainless Steel,Stainless Steel,Rolex Submariner,Auction
3250,3250,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & Gold Filled Yellow Gold,Rolex Datejust,Auction
3650,3650,pre-owned,1601,Mechanical (Automatic),"Solid Gold, Stainless Steel",Stainless & Solid Gold,Datejust,Auction
4373,4361,pre-owned,16234,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction
5350,5350,pre-owned,Rolex Submariner,Mechanical (Automatic),Stainless Steel,"Rolex Stainless Steel Oyster, Stainless Steel",Rolex Submariner,Auction
6900,6900,pre-owned,116334,Mechanical (Automatic),Stainless Steel,Stainless Steel,DateJust,Auction
4401,4401,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,Auction
6950,6900,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,Auction
3671,3650,pre-owned,Does Not Apply,Mechanical (Automatic),18K Yellow Gold & Stainless Steel,18K Yellow Gold & Stainless Steel,1601,Auction
7500,7500,pre-owned,5443/9,Mechanical (Hand-winding),White Gold,Alligator,Cellini,FixedPrice
5368,5358,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction
6550,6500,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,Auction
10100,10100,pre-owned,228235,Mechanical (Automatic) Caliber 3255,Solid Gold,Solid Gold,Rolex Day-Date,Auction
9080,9000,pre-owned,Does Not Apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Sea-Dweller Deepsea,Auction
8688,8688,pre-owned,18078,Mechanical (Automatic),18k Yellow Gold,Yellow Gold,Rolex President,Auction
7900,7900,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,Auction
3160,3160,pre-owned,Does not apply,Mechanical (Automatic),"Silver, Stainless Steel","Silver, Stainless Steel",Rolex Datejust,Auction
3500,3500,pre-owned,1603,Mechanical (Automatic),Stainless Steel,Steel,Datejust,Auction
7100,7050,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,Auction
5500,5500,pre-owned,69173,Mechanical (Automatic),"Solid Gold, Stainless Steel","Solid Gold and Stainless Steel, Solid Gold, Stainless Steel",Rolex Datejust,Auction
9075,9000,new with tags,6305,Mechanical (Automatic),Gold,Leather,Rolex Oyster Perpetual,Auction
4520,4500,pre-owned,116400,Mechanical: Automatic,Stainless Steel,Stainless Steel,Milgauss,Auction
5019,4999,pre-owned,116400,Mechanical: Automatic,Stainless Steel,Stainless Steel,Milgauss,Auction
5600,5600,pre-owned,216570,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,Auction
7500,7500,pre-owned,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,GMT-Master II 116710,Auction
6321,6300,pre-owned,Does Not Apply,Mechanical (Automatic),"18K Yellow Gold & Stainless Steel, 1.50CT Diamond Bezel","18K Yellow Gold & Stainless Steel, 6.50CT Diamond Bezel",16013,Auction
7010,7000,pre-owned,MTV5336K,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Submariner,Auction
5300,3800,pre-owned,16014/16030,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction
8350,8250,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction
3871,3850,pre-owned,Does Not Apply,Mechanical (Automatic),18K Yellow Gold,18K Yellow Gold,6517,Auction
2882,2850,pre-owned,1005,Automatic,18kt Yellow Gold,Genuine Leather,Rolex Oyster Perpetual,Auction
4500,4500,pre-owned,MTV08477,Mechanical: Automatic,"Silver, Stainless Steel","Silver, Stainless Steel",Rolex Submariner,Auction
5500,5500,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,Auction
4250,4250,manufacturer refurbished,1601,Mechanical (Automatic),Stainless Steel,"Genuine Leather, Rubber",Rolex Datejust,Auction
8999,8999,pre-owned,18038,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,Auction
5220,5200,pre-owned,231,Mechanical (Hand-winding),Stainless Steel,Leather,pilot,Auction
6700,6700,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,"Solid Gold, Stainless Steel",Rolex Datejust,Auction
8100,8100,pre-owned,18038,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,Auction
4060,4060,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & Gold Filled Yellow Gold,Rolex Datejust,Auction
11100,11100,pre-owned,80138,Mechanical (Automatic),Gold,Gold,Rolex Pearlmaster Masterpiece,Auction
6600,6600,pre-owned,16613/2160,Mechanical (Automatic),Stainless Steel,"Gold, Steel",Submariner,Auction
2530,2500,pre-owned,Does Not Apply,Mechanical (Hand-winding),Solid Gold,"Crocodile Skin, Genuine Leather",Rolex Cellini,Auction
6150,6100,pre-owned,18038,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Day-Date,Auction
8350,8300,pre-owned,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,GMT-Master II 116710,Auction
6991,6850,pre-owned,16234,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction
8000,8000,pre-owned,16018,Mechanical (Automatic),Solid Gold,Genuine Leather,Rolex Datejust,Auction
4666,4666,pre-owned,16570T,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,Auction
3120,3100,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual DateJust 1600,Auction
5000,5000,pre-owned,16622,Mechanical (Automatic),Stainless Steel,Stainless Steel,YACHT-MASTER,Auction
10681,10601,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Deepsea,Auction
5750,5750,pre-owned,126300-BLUSO,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust 41,Auction
3437,3437,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,Auction
4999,4999,pre-owned,16570T,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,Auction
5040,5040,pre-owned,1601,Mechanical (Automatic),"Solid Gold, Stainless Steel","Genuine Leather, Leather",Rolex Datejust,Auction
10153,10153,pre-owned,18038,Mechanical (Automatic),18k Gold,18k Gold,Day-Date,Auction
6634,6634,pre-owned,16613,Mechanical (Automatic),Stainless Steel,"Two-Tone: Stainless Steel & 18k Yellow Gold, Solid Gold, Stainless Steel",Rolex Submariner,Auction
4100,4100,pre-owned,Does Not Apply,Mechanical (Automatic),Gold,Genuine Suede,Rolex Datejust,Auction
5100,5100,pre-owned,1803,Mechanical (Automatic),Solid Gold,Genuine Leather,Rolex President,Auction
7810,7800,new with tags,Does Not Apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Submariner,Auction
10199,10199,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,Auction
9009,9009,pre-owned,Rolex Men's 36mm Day Date 18038,Mechanical (Automatic),18k Yellow Gold,Solid Gold,Rolex Day-Date,Auction
4550,4550,pre-owned,16710/2180,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT-Master II,Auction
5500,5500,pre-owned,Rolex Submariner,Mechanical (Automatic),Stainless Steel,"Rolex Stainless Steel Oyster, Stainless Steel",Rolex Submariner,Auction
6500,6500,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,Auction
6014,6000,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,Auction
4649,4649,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,Auction
4070,4050,pre-owned,Does not apply,Mechanical (Hand-winding),18k solid white gold,"Genuine Leather, original stainless steel Rolex buckle",Rolex Cellini,Auction
5740,5700,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction
3400,3400,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Rolex Stainless Steel,Rolex Datejust,Auction
4000,4000,manufacturer refurbished,1601,Mechanical (Automatic),Stainless Steel,"Genuine Leather, Rubber",Rolex Datejust,Auction
3045,3000,manufacturer refurbished,1601,Mechanical (Automatic),"Solid Gold, Stainless Steel","Genuine Leather, Leather",Rolex Datejust,Auction
3070,3050,pre-owned,116200,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction
3509,3500,pre-owned,116613,Mechanical (Automatic),Yellow Gold / Steel,Yellow Gold / Steel,Rolex Submariner,Auction
4535,4535,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,Auction
3063,3050,pre-owned,67194,Automatic,Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,Auction
6600,6600,pre-owned,79163,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,Auction
7863,7855,pre-owned,5513,Mechanical (Automatic),Stainless Steel,Stainless Steel,Submariner,Auction
6700,6700,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,Auction
6096,6056,pre-owned,16570T,Mechanical (Automatic),Stainless Steel,Stainless Steel,Explorer II,Auction
3600,3600,pre-owned,17013,Quartz (Battery),Stainless Steel,"Stainless Steel,Yellow Gold",Datejust,Auction
5096,5096,pre-owned,1601,Mechanical (Automatic),"Solid Gold, Stainless Steel",Stainless & Solid Gold,Datejust,StoreInventory
4050,4050,pre-owned,1601,Mechanical (Automatic),"White Gold, Stainless Steel",Leather,Rolex Datejust,StoreInventory
4321,4321,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Leather,Rolex Oyster Perpetual,StoreInventory
3000,3000,pre-owned,1601,Mechanical: Automatic/Kinetic,"Solid Gold, Stainless Steel","Stainless Steel and Yellow Gold, Gold, Stainless Steel",Datejust,StoreInventory
5590,5569,pre-owned,Does Not Apply,Mechanical (Automatic),"18K White Gold, 1.00CT Diamond Bezel",18K White Gold,69149,Auction
9621,9600,new without tags,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction
6334,6295,pre-owned,114060,Mechanical: Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory
4005,4000,new with tags,76080,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,StoreInventory
9175,9175,new with tags,M279173-0010,Mechanical (Automatic),Stainless Steel,"Yellow Rolesor, Stainless Steel, Yellow Gold",Rolex Lady-Datejust,StoreInventory
10545,10545,new with tags,126334SSJ,Swiss Automatic,Stainless Steel,Stainless Steel,Datejust Ii,FixedPrice
6060,5995,pre-owned,16800,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
7500,7500,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
5300,5300,new with tags,R7916334UB7824,Mechanical (Automatic),"Gold, Stainless Steel","Gold, Stainless Steel",Rolex Lady-Datejust,StoreInventory
5495,5495,pre-owned,1500,Mechanical (Automatic),"Stainless Steel, Brass",Stainless Steel,Rolex Datejust,StoreInventory
8000,8000,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,StoreInventory
3595,3595,pre-owned,6916,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Date,StoreInventory
8990,8990,new with tags,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,Submariner 114060,FixedPrice
4695,4695,pre-owned,Rolex Authentic Mens Datejust 16013,Original Rolex Caliber 3035,"Solid Gold, Stainless Steel","Original Rolex Jubilee, Solid Gold, Stainless Steel",Rolex Datejust Mens,StoreInventory
4995,4995,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,StoreInventory
5076,5000,pre-owned,114300,Mechanical (Automatic),Oyster Steel,Oyster Steel,Rolex Oyster Perpetual,FixedPrice
11693,11693,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice
6500,6500,pre-owned,116400GV,Mechanical (Automatic),Stainless Steel,Stainless Steel,Milgaus,FixedPrice
9027,9000,pre-owned,Does not apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice
3600,3600,pre-owned,68273,Mechanical (Automatic),Stainless Steel,"Stainless Steel, Yellow Gold",Rolex Datejust,FixedPrice
4555,4550,pre-owned,168622,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Yacht-Master,Auction
5076,5000,pre-owned,114300,Mechanical (Automatic),Oyster Steel,Oyster Steel,Rolex Oyster Perpetual,FixedPrice
11693,11693,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice
7000,7000,pre-owned,16750,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT-Master,StoreInventory
3391,3391,pre-owned,1603,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory
6500,6500,pre-owned,116400GV,Mechanical (Automatic),Stainless Steel,Stainless Steel,Milgaus,FixedPrice
9027,9000,pre-owned,Does not apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice
3600,3600,pre-owned,68273,Mechanical (Automatic),Stainless Steel,"Stainless Steel, Yellow Gold",Rolex Datejust,FixedPrice
3325,3325,pre-owned,Does not apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory
4555,4550,pre-owned,168622,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Yacht-Master,Auction
7059,7059,pre-owned,16613/2160,Mechanical (Automatic),Stainless Steel,"Gold, Steel",Submariner,Auction
6091,6091,pre-owned,14060,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice
4692,4692,pre-owned,114300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,FixedPrice
7350,7350,pre-owned,16713,Mechanical (Automatic),Stainless Steel,Solid Gold,Rolex GMT-Master II,StoreInventory
3700,3700,pre-owned,16013,Mechanical (Automatic),Stainless Steel,"18k Yellow Gold, Stainless Steel",Rolex Datejust,Auction
8100,8100,pre-owned,1601,Mechanical (Automatic),Solid Gold,Gold Plated,Rolex Datejust,FixedPrice
7000,7000,pre-owned,16713,Mechanical (Automatic),Stainless Steel,"18K Yellow Gold, Stainless Steel, Yellow Gold",Rolex GMT-Master II,StoreInventory
4723,4400,pre-owned,116900,Mechanical (Automatic),Stainless Steel,Stainless Steel,Air King,StoreInventory
5688,5688,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,StoreInventory
7750,7750,new with tags,116400GV,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Milgauss,FixedPrice
7100,7100,pre-owned,16613,Mechanical (Automatic),Stainless Steel,"Gold, Stainless Steel",Submariner,StoreInventory
5724,5709,pre-owned,16610T,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction
3895,3895,pre-owned,16014,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice
3995,3995,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,Auction
8710,8600,pre-owned,116660,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Sea-Dweller Deepsea,FixedPrice
4685,4650,new with tags,114300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,Auction
3325,3300,pre-owned,Does Not Apply,Mechanical (Automatic),"Solid Gold, Stainless Steel","Gold, Stainless Steel",Rolex Yacht-Master,FixedPrice
6500,6500,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,StoreInventory
9750,9700,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,StoreInventory
3515,3500,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,StoreInventory
8400,8400,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Submariner,StoreInventory
